driverId,constructorId,gridPosition,finalPosition,q1,q2,q3,constructorPosition
1,131,2,2,70000.0,69000.0,68000.0,1
1,131,1,1,66000.0,66000.0,67000.0,1
1,131,1,1,90000.0,89000.0,89000.0,1
1,1,2,2,92000.0,91000.0,92000.0,11
1,1,4,2,81000.0,80000.0,81000.0,11
1,1,2,2,75000.0,75000.0,75000.0,11
1,131,1,1,99000.0,87000.0,86000.0,1
1,131,2,1,95000.0,93000.0,93000.0,1
1,131,1,1,115000.0,114000.0,113000.0,1
1,131,1,1,87000.0,86000.0,85000.0,1
1,1,2,5,87000.0,86000.0,87000.0,11
1,1,2,2,81000.0,81000.0,82000.0,11
1,1,4,4,106000.0,105000.0,106000.0,11
1,1,1,1,85000.0,84000.0,85000.0,11
1,131,2,2,90000.0,89000.0,88000.0,2
1,131,4,4,94000.0,93000.0,93000.0,1
1,131,1,1,80000.0,80000.0,79000.0,1
1,131,5,4,64000.0,63000.0,62000.0,1
1,131,1,1,78000.0,77000.0,79000.0,1
1,131,1,1,74000.0,74000.0,73000.0,1
1,131,8,4,65000.0,64000.0,64000.0,1
1,131,7,4,72000.0,71000.0,72000.0,4
1,131,3,3,72000.0,71000.0,71000.0,4
1,1,1,3,79000.0,79000.0,79000.0,11
1,1,5,5,75000.0,74000.0,74000.0,3
1,1,2,1,87000.0,87000.0,86000.0,1
1,1,1,1,75000.0,75000.0,75000.0,1
1,131,5,9,85000.0,86000.0,87000.0,2
1,1,4,4,87000.0,86000.0,85000.0,2
1,1,3,2,84000.0,82000.0,81000.0,2
1,1,9,6,75000.0,74000.0,75000.0,2
1,1,1,1,84000.0,84000.0,84000.0,2
1,1,8,8,107000.0,114000.0,113000.0,4
1,131,3,3,105000.0,103000.0,103000.0,1
1,131,2,1,94000.0,84000.0,80000.0,1
1,131,2,1,75000.0,74000.0,74000.0,1
1,131,1,1,104000.0,102000.0,102000.0,1
1,131,1,1,96000.0,94000.0,95000.0,1
1,131,9,7,90000.0,89000.0,89000.0,3
1,131,8,9,88000.0,88000.0,88000.0,4
1,131,7,9,89000.0,88000.0,88000.0,4
1,131,1,2,82000.0,82000.0,81000.0,2
1,131,6,2,78000.0,77000.0,77000.0,2
1,131,1,1,85000.0,85000.0,84000.0,1
1,1,2,1,97000.0,96000.0,95000.0,3
1,1,2,2,85000.0,84000.0,84000.0,2
1,1,2,8,96000.0,95000.0,94000.0,2
1,1,3,1,96000.0,94000.0,94000.0,2
1,131,5,8,70000.0,70000.0,71000.0,2
1,131,4,4,77000.0,76000.0,76000.0,1
1,1,3,4,86000.0,85000.0,85000.0,3
1,131,5,3,92000.0,91000.0,91000.0,2
